
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-01 13:49:41 /properties/5 ............................................................................ ~ 1s
  2026-06-01 13:49:42 /build/assets/app-BmksWwif.css ....................................................... ~ 0.90ms
  2026-06-01 13:49:42 /build/assets/app-BjqOcoUn.js ....................................................... ~ 44.35ms
  2026-06-01 13:49:43 /favicon.ico ......................................................................... ~ 4.10ms
  2026-06-01 13:49:51 / ........................................................................................ ~ 1s
  2026-06-01 13:49:52 /build/assets/app-BmksWwif.css ....................................................... ~ 1.00ms
  2026-06-01 13:49:52 /build/assets/app-BjqOcoUn.js ....................................................... ~ 48.29ms
  2026-06-01 13:49:52 /favicon.ico ......................................................................... ~ 2.16ms
